Price,Close,High,Low,Open,Volume,rsi,ema_9,ema_21,macd_line,target
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,,,,,
Date,,,,,,,,,,
2025-02-06,2856.0,2871.699951171875,2836.300048828125,2865.199951171875,3116,71.23734176761766,2822.382958569714,2773.215445268771,48.58751916496885,1
2025-02-07,2867.300048828125,2889.5,2857.800048828125,2859.89990234375,1822,72.94089720391895,2831.3663766213967,2781.768591046894,49.73843684029316,1
2025-02-10,2914.300048828125,2916.10009765625,2863.800048828125,2864.199951171875,2237,78.7558021057379,2847.953111062742,2793.816905390642,53.82262092392011,0
2025-02-11,2912.5,2945.39990234375,2890.0,2925.5,2554,78.04212424483109,2860.862488850194,2804.606277627857,56.26552340857643,0
2025-02-12,2909.0,2912.300048828125,2868.60009765625,2902.0,2504,76.54357961033632,2870.4899910801555,2814.0966160253242,57.25907352152808,1
2025-02-13,2925.89990234375,2937.699951171875,2910.60009765625,2911.300048828125,4670,78.73433189730423,2881.571973332874,2824.2605511451807,58.7331112782249,0
2025-02-14,2883.60009765625,2944.39990234375,2874.800048828125,2937.300048828125,1992,62.5003325861836,2881.97759819755,2829.6550553734596,55.844317565201436,1
2025-02-18,2931.60009765625,2936.39990234375,2873.800048828125,2879.199951171875,4010,70.23762947479929,2891.90209808929,2838.922786490077,56.773674997275066,0
2025-02-19,2919.39990234375,2946.0,2917.10009765625,2938.699951171875,2630,66.37023697723396,2897.401658940182,2846.23888793132,55.88157563853156,1
2025-02-20,2940.0,2955.800048828125,2924.199951171875,2949.10009765625,656,69.51898439537943,2905.9213271521458,2854.762625392109,56.18912295524524,0
2025-02-21,2937.60009765625,2940.0,2917.300048828125,2938.800048828125,570,68.68651688586053,2912.2570812529666,2862.2933046888493,55.59830174342278,1
2025-02-24,2947.89990234375,2957.89990234375,2933.10009765625,2933.10009765625,415,70.37801287530745,2919.385645471123,2870.0757226574765,55.32344559249759,0
2025-02-25,2904.5,2943.199951171875,2890.0,2938.699951171875,1854,56.171881714687935,2916.4085163768987,2873.2052024158875,51.015535366002496,1
2025-02-26,2916.800048828125,2917.0,2913.0,2913.5,2050,58.791291225697805,2916.486822867144,2877.1683702715454,48.04021888006946,0
2025-02-27,2883.199951171875,2922.800048828125,2870.39990234375,2918.5,3215,49.76400707529826,2909.8294485280903,2877.716695807939,42.48131391275638,0
2025-02-28,2836.800048828125,2877.10009765625,2834.10009765625,2877.10009765625,990,40.27512536651887,2895.2235685880974,2873.9970006279555,33.94051223957422,1
2025-03-03,2890.199951171875,2891.800048828125,2863.39990234375,2872.699951171875,423,51.98294658909191,2894.2188451048532,2875.469996131948,31.122035762484302,1
2025-03-04,2909.60009765625,2927.89990234375,2886.10009765625,2886.10009765625,885,55.50393411799251,2897.2950956151326,2878.572732634157,30.1067506551135,1
2025-03-05,2915.300048828125,2922.0,2893.0,2916.699951171875,551,56.54419062458756,2900.8960862577314,2881.9115795608814,29.422899446181873,1
2025-03-06,2916.60009765625,2918.60009765625,2903.800048828125,2904.0,870,56.800135963944605,2904.0368885374355,2885.065081205915,28.655522485915753,0
2025-03-07,2904.699951171875,2927.300048828125,2900.5,2900.89990234375,531,53.58993133361093,2904.1695010643234,2886.8500693846386,26.778443125290778,0
2025-03-10,2891.0,2915.10009765625,2880.199951171875,2910.10009765625,55,49.976860199153855,2901.535600851459,2887.227335804217,23.909755861799567,1
2025-03-11,2912.89990234375,2916.699951171875,2880.39990234375,2884.39990234375,197,55.32649338683832,2903.808461149917,2889.561205489629,23.136733766978068,1
2025-03-12,2939.10009765625,2939.10009765625,2910.0,2912.0,213,60.88677204419681,2910.8667884511838,2894.06474114114,24.357467264432216,1
2025-03-13,2984.300048828125,2988.0,2935.199951171875,2937.10009765625,2366,68.42095879620192,2925.553440526572,2902.267950930866,28.64199853381797,1
2025-03-14,2994.5,3004.800048828125,2986.0,2994.39990234375,1800,69.87589673049105,2939.342752421258,2910.652682664423,32.4860918037848,1
2025-03-17,3000.0,3001.5,2989.0,2991.0,214,70.68509710411398,2951.4742019370065,2918.7751660585664,35.56638035656488,1
2025-03-18,3035.10009765625,3039.199951171875,3004.39990234375,3006.39990234375,428,75.37552126771293,2968.1993810808553,2929.3501598401735,40.37440475816902,1
2025-03-19,3035.89990234375,3050.89990234375,3030.89990234375,3035.199951171875,175,75.47487131184967,2981.7394853334345,2939.036500067771,43.745070349788875,1
2025-03-20,3040.0,3047.300048828125,3034.39990234375,3047.300048828125,185,76.02582170302435,2993.3915882667475,2948.21500006161,46.21445921210034,0
2025-03-21,3018.199951171875,3037.5,3000.89990234375,3034.5,151,67.11819107196575,2998.353260847773,2954.577268344361,45.88346984771215,0
2025-03-24,3013.10009765625,3024.300048828125,3006.0,3024.300048828125,137,65.13451840256687,3001.3026282094684,2959.897525554533,44.69443322937923,1
2025-03-25,3023.699951171875,3028.800048828125,3023.699951171875,3026.39990234375,74,67.36218645162035,3005.7820928019496,2965.6977460652006,44.09908592304964,0
2025-03-26,3020.89990234375,3033.199951171875,3019.5,3033.199951171875,83,66.1221764745114,3008.8056547103097,2970.716123908705,42.90672632156702,1
2025-03-27,3060.199951171875,3065.0,3025.5,3025.5,124359,73.67841985251818,3019.084514002623,2978.8510172962656,44.61862253664822,1
2025-03-28,3086.5,3094.89990234375,3066.800048828125,3069.699951171875,31206,77.42281137272873,3032.5676112020988,2988.63728845115,47.549387027213015,1
2025-03-31,3122.800048828125,3132.5,3086.0,3091.0,3438,81.46617269620818,3050.6140987273043,3000.8339030308753,52.19942706705342,0
2025-04-01,3118.89990234375,3149.5,3104.0,3129.699951171875,1721,79.76089962067213,3064.271259450594,3011.5671756956817,54.9366327682651,1
2025-04-02,3139.89990234375,3168.60009765625,3117.39990234375,3120.699951171875,5946,82.01338475133886,3079.396988029225,3023.233787209142,58.130322331684965,0
2025-04-03,3097.0,3166.89990234375,3052.0,3150.0,5516,65.47355149810798,3082.9175904233803,3029.9398065537653,56.54783251683784,0
2025-04-04,3012.0,3127.699951171875,3011.0,3110.5,3247,45.34232326551376,3068.7340723387047,3028.3089150488777,47.88294354489926,0
2025-04-07,2951.300048828125,3050.800048828125,2949.699951171875,3016.39990234375,4424,36.44977663293809,3045.2472676365887,3021.308109028809,35.706376951523,1
2025-04-08,2968.39990234375,3014.5,2968.39990234375,2994.0,3213,40.125364457064386,3029.877794578021,3016.49827205744,27.123512499821572,1
2025-04-09,3056.5,3090.39990234375,2965.800048828125,2965.800048828125,2175,55.01847436293049,3035.202235662417,3020.134792779491,27.11787420967312,1
2025-04-10,3155.199951171875,3167.0,3072.10009765625,3073.89990234375,3456,65.65321012018141,3059.201778764309,3032.413443542435,34.67792152073571,1
2025-04-11,3222.199951171875,3235.0,3182.10009765625,3182.10009765625,862,70.85113020141738,3091.801413245822,3049.6667624178385,45.55057486677288,0
2025-04-14,3204.800048828125,3228.800048828125,3194.5,3215.5,263,67.88659265887102,3114.4011403622826,3063.769788455137,52.16191419745155,1
2025-04-15,3218.699951171875,3218.699951171875,3214.0,3216.0,390,69.03655055001293,3135.2609025242014,3077.8543487021134,57.856124809337416,1
2025-04-16,3326.60009765625,3334.89990234375,3238.300048828125,3238.300048828125,1874,76.34321352155163,3173.5287415506114,3100.467598607035,70.26549096487543,0
2025-04-17,3308.699951171875,3345.0,3287.800048828125,3345.0,824,73.16091506100155,3200.5629834748643,3119.397812476566,77.75925058695748,1
2025-04-21,3406.199951171875,3418.5,3342.199951171875,3342.199951171875,78,78.56775644376543,3241.6903770142667,3145.470734176139,90.522062249991,0
2025-04-22,3400.800048828125,3485.60009765625,3361.699951171875,3422.199951171875,785,77.60568299233282,3273.5123113770387,3168.6824900535926,99.059064223522,0
2025-04-23,3276.300048828125,3370.300048828125,3256.199951171875,3321.199951171875,331,59.0744439799828,3274.0698588672562,3178.4659044876407,94.6870963768747,1
2025-04-24,3332.0,3353.89990234375,3304.89990234375,3305.39990234375,560,63.416890715934244,3285.655887093805,3192.4235495342186,94.62601116170936,0
2025-04-25,3282.39990234375,3355.5,3266.10009765625,3355.5,162,57.3916571829138,3285.0046901437945,3200.6032179714484,89.54309032640413,1
2025-04-28,3332.5,3332.5,3284.5,3284.5,1300,61.49723586509874,3294.5037521150357,3212.5938345194986,88.53689985164738,0
2025-04-29,3318.800048828125,3340.0,3299.89990234375,3340.0,1278,59.7480286723293,3299.3630114576536,3222.2489449111918,85.64673286367815,0
2025-04-30,3305.0,3318.699951171875,3268.0,3318.699951171875,207,57.90463504530324,3300.490409166123,3229.7717681010836,81.30546727868204,0
